method,path,line,source
PUT,/user/logout/{param},239424,url_config
PUT,/user/password/{param},239293,url_config
POST,/user/{param},239303,url_config
POST,/userLoginDevice/sendOTP,2957,url_config
GET,/userLoginDevice/tempToGetDeviceId?deviceId={param},236315,url_config
POST,/userLoginDevice/validateOTP,2969,url_config
POST,/variantLabel,11963,url_config
GET,/variantLabelValue/allByValue,268056,url_config
POST,/vendor,238777,url_config
PUT,/vendor,238805,url_config
POST,/vendor/list?storeIds={param},238787,url_config
GET,/vendor/paymentMade?vendorId={param}&storeIds={param},238858,url_config
DELETE,/vendor/paymentPreference,238942,url_config
GET,/vendor/paymentPreference,238923,url_config
POST,/vendor/portal/register,238896,url_config
PUT,/vendor/portal/register,238903,url_config
POST,/vendor/storeCredit,238888,url_config
GET,/vendor/storeCredit/list/vendorId/{param},238882,direct_call
GET,/vendor/transactions/export/csv,253628,url_config
GET,/vendor/transactions?storeIds={param},238840,url_config
GET,/vendor/{param},59161,url_config
PUT,/vendor/{param},238813,url_config
GET,/vendor/{param}/accountSummary?storeIds={param},253838,url_config
GET,/vendor/{param}/allInvoice,253003,url_config
DELETE,/vendor?vendorId={param},238819,url_config
DELETE,/vendorContactPerson,238970,url_config
GET,/vendorContactPerson,238960,url_config
DELETE,/vendorContactPerson/vendorId/{param},238954,url_config
GET,/whatsapp/order/{param}?storeIdList={param}&defaultStoreId={param},46786,url_config
GET,/whatsapp/salesOrder/{param}?storeIdList={param}&defaultStoreId={param},45838,url_config
GET,/whatsapp/statement,249403,url_config
