method,path,line,source
GET,/home/sliderImages,16262,url_config
GET,/home/sliderTypes,16192,url_config
POST,/imageConfiguration,257622,url_config
PUT,/imageConfiguration,257636,url_config
GET,/imageConfiguration/configTypeId/{param},262268,url_config
PUT,/imageConfiguration/updateSequenceNumberInBulk,257651,url_config
DELETE,/imageConfiguration?id={param},257597,url_config
GET,/inventory/adjustment/export/downloadBulkInventoryAdjustmentTemplate,43895,url_config
POST,/inventory/adjustment/fromQuotation/{param}?storeIds={param},46190,url_config
GET,/inventory/adjustment/import/downloadBulkInventoryAdjustmentTemplate,43863,url_config
GET,/inventory/adjustment/list?storeIds={param},40871,url_config
DELETE,/inventory/adjustment/{param},12183,url_config
GET,/inventory/adjustment/{param}?storeIds={param},12148,url_config
POST,/inventory/adjustment?storeIds={param},12163,url_config
PUT,/inventory/adjustment?storeIds={param},12174,url_config
GET,/inventory/adjustmentLineItem/adjustmentId/{param},41054,url_config
GET,/inventory/adjustmentLineItem/adjustmentId/{param}?storeIds={param},12152,url_config
GET,/inventory/committedQuantity/{param}?wareHouseIdList={param},260817,url_config
GET,/inventory/customerRmaQuantity/{param}?storeIds={param}&wareHouseIdList={param},260825,url_config
GET,/inventory/details/{param}?storeIds={param},12047,url_config
GET,/inventory/detailsToUpdate/{param}?storeIds={param},12060,direct_call
DELETE,/inventory/history/{param}?storeIds={param},12039,url_config
GET,/inventory/incomingFromPO/{param}?storeIds={param}&wareHouseIdList={param},260813,url_config
POST,/inventory/location,251150,url_config
GET,/inventory/location/byProductId/{param},251144,url_config
POST,/inventory/location?locationId={param},251160,url_config
GET,/inventory/recentCostPrice/{param}?storeIds={param},12073,direct_call
GET,/inventory/transferOrderQuantity/{param}?storeIds={param}&wareHouseIdList={param},260829,url_config
POST,/inventory/v2,11969,url_config
GET,/inventory/v2/detailsToUpdate/{param}?storeIds={param},12053,direct_call
GET,/inventory/v2/history/{param}?storeIds={param},12067,url_config
POST,/inventory/v2/imei,11978,url_config
GET,/inventory/vendorRmaQuantity/{param}?storeIds={param}&wareHouseIdList={param},260821,url_config
PUT,/lot/inventory/audit/{param}?storeIds={param},12217,url_config
GET,/lot/inventory/list?storeIds={param},255862,url_config
POST,/lot/inventory?storeIds={param},255874,url_config
PUT,/lot/inventory?storeIds={param},255885,url_config
GET,/lot/location/list?storeIds={param},255821,url_config
DELETE,/lot/location/{param},255853,url_config
POST,/lot/location?storeIds={param},255833,url_config
PUT,/lot/location?storeIds={param},255844,url_config
POST,/module/all,236223,url_config
GET,/module/allFieldByModuleId/{param},236257,url_config
POST,/order,46429,url_config
PUT,/order/bulk,46399,url_config
DELETE,/order/cancelled/bulk,46409,url_config
GET,/order/dueOrders/customer/{param}?storeIds={param},238472,url_config
DELETE,/order/email/types,47520,url_config
GET,/order/email/{param}?storeIds={param},62248,url_config
POST,/order/email/{param}?storeIds={param},46648,direct_call
POST,/order/from/quotation?storeIds={param},46439,url_config
POST,/order/fromPO?storeIds={param},46496,url_config
POST,/order/fromRMA/{param},48322,url_config
DELETE,/order/fulfilment/bulk?fulfilmentIds={param}&storeIds={param},48610,url_config
GET,/order/import/csv,64815,url_config
DELETE,/order/lineItem/bulk?lineItemIds={param}&orderId={param},46483,url_config
GET,/order/lineItem/byMasterChildMapping/{param}?sortedByProductName=true&storeIds={param},62042,url_config
GET,/order/lineItem/byMasterChildMapping/{param}?sortedByProductName=true&storeIds={param}&masterProductId={param},62020,url_config
GET,/order/lineItem/{param}?storeIds={param},46697,url_config
PUT,/order/list?storeIds={param},46390,url_config
GET,/order/negativeBalance/customer/{param}?storeIds={param},238459,url_config
PUT,/order/notes?storeIds={param},46525,url_config
POST,/order/onBehalfOfCustomer?storeIds={param}&storeId={param},247488,url_config
POST,/order/payment/bulk,46619,url_config
PUT,/order/payment/bulk,46898,url_config
GET,/order/payment/card/{param},46802,url_config
PUT,/order/payment/id/{param}?storeIds={param},46892,url_config
DELETE,/order/payment/{param}/voidPayment,46908,url_config
GET,/order/payment/{param}?storeIds={param},62914,url_config
POST,/order/payment?storeIds={param},46602,direct_call
PUT,/order/payment?storeIds={param},46610,direct_call
GET,/order/profitDetailOnOrderAndLineItem/{param}?storeIds={param},64340,url_config
PUT,/order/schedule/payment,46637,url_config
PUT,/order/schedule/payment/bulk,46934,url_config
DELETE,/order/schedule/payment/list?storeIds={param},46918,url_config
PUT,/order/schedule/payment/order/{param}?storeIds={param},46630,url_config
DELETE,/order/schedule/payment/{param},46944,url_config
PUT,/order/schedule/payment/{param}?storeIds={param},46928,url_config
DELETE,/order/shipment,48565,url_config
POST,/order/shipment,48520,direct_call
PUT,/order/shipment,48524,direct_call
DELETE,/order/shipment/{param},48542,url_config
PUT,/order/status/{param},46421,url_config
DELETE,/order/tag/config,47517,url_config
PUT,/order/tag/config,47496,url_config
DELETE,/order/tag/config?configOrderTagId={param},47511,url_config
GET,/order/tag/{param}/timeLine?storeIds={param},64530,url_config
GET,/order/tag/{param}?storeIds={param},46798,url_config
POST,/order/tag/{param}?storeIds={param},46583,direct_call
GET,/order/{param}/export/csv?storeIds={param},61203,url_config
GET,/order/{param}/statusTimeLine?storeIds={param},64508,url_config
PUT,/order/{param}/transferOrder,46573,url_config
PUT,/order/{param}/updatePriceOnPercentage?storeIds={param},46556,url_config
PATCH,/order/{param}/updatePriceWithCustomerTier?storeIds={param},46543,url_config
GET,/order/{param}/withCustomer?storeIds={param},46735,url_config
PATCH,/order/{param}?storeIds={param},47082,url_config
PUT,/order?storeIds={param},46473,url_config
PUT,/orginfo,15378,url_config
PUT,/orginfo/2fa/email/update,15392,url_config
DELETE,/price/rule,47536,direct_call
POST,/price/rule,47523,direct_call
DELETE,/price/rule/tier/{param},47540,url_config
PUT,/price/rule/{param},47533,direct_call
GET,/product/autoGenerateSKU,261778,url_config
GET,/product/autoGenerateUPC,261583,url_config
PUT,/product/bulk,12075,direct_call
POST,/product/bulk/export,43561,url_config
GET,/product/bulk/list?storeIds={param},43581,url_config
PUT,/product/bulk/update,43587,direct_call
PUT,/product/category/{param},244864,url_config
POST,/product/clone?productId={param},11933,url_config
POST,/product/export/csv?storeIds={param},45005,url_config
DELETE,/product/image?productImageAttachmentId={param}&productId={param},12000,url_config
GET,/product/imei/productInventoryId/{param}?storeIds={param},11988,url_config
GET,/product/import/downloadBulkProductTemplate,44431,url_config
GET,/product/list/forTransferOrder?storeIds={param},251703,url_config
GET,/product/list?storeIds={param},11884,url_config
POST,/product/price/{param},263109,url_config
DELETE,/product/productId/{param}/compositeProductId/{param},261433,url_config
GET,/product/quick/salesByPurchaseHistory?storeIds={param},12208,url_config
GET,/product/search?storeIds={param},12093,url_config
GET,/product/searchByCategory,42282,url_config
PUT,/product/searchByCategory,244873,url_config
GET,/product/searchForReport?storeIds={param},11199,url_config
GET,/product/searchForTransferOrder?storeIds={param},251713,url_config
DELETE,/product/tag?id={param},12030,url_config
DELETE,/product/upc/{param},12235,url_config
PUT,/product/upc/{param},12221,url_config
PUT,/product/updateAllChildProductsPriceFromMasterProductPrice/{param},263166,url_config
GET,/product/v1/export/downloadBulkProductTemplate,43636,url_config
GET,/product/v1/import/downloadBulkProductTemplate,43603,url_config
DELETE,/product/{param},11923,url_config
DELETE,/product/{param}/priceHistory,12194,url_config
GET,/product/{param}?storeIds={param},11895,url_config
PUT,/product?storeIds={param},11910,url_config
DELETE,/purchaseOrder,50122,url_config
POST,/purchaseOrder,50128,url_config
POST,/purchaseOrder/createPOFromVendorsInvoice/vendorId/{param}/vendorInvoiceNumber/{param},252934,url_config
POST,/purchaseOrder/fromOrder,46507,url_config
POST,/purchaseOrder/fromSalesOrder,45614,url_config
POST,/purchaseOrder/insertNewProductAfterVerificationToCreatePOFromVendorsInvoice/vendorId/{param}/vendorInvoiceNumber/{param},252964,url_config
GET,/purchaseOrder/verifyProductBeforeCreatePOFromVendorsInvoice/vendorId/{param}/vendorInvoiceNumber/{param},252916,url_config
PUT,/purchaseOrder/{param}/transferPurchaseOrder,50135,url_config
GET,/purchaseOrder/{param}?storeIds={param},50096,url_config
POST,/purchaseOrderLineItem/bulk?lineItemIds={param},50115,url_config
POST,/quotation,45949,url_config
PUT,/quotation,46078,url_config
PUT,/quotation/bulk,45941,url_config
POST,/quotation/salesOrder?storeIds={param},45958,url_config
PATCH,/quotation/status/quotationId/{param}/quotationStatusId/{param},46034,url_config
GET,/quotation/tag/{param}/timeLine?storeIds={param},53583,url_config
GET,/quotation/tag/{param}?storeIds={param},46163,url_config
POST,/quotation/tag/{param}?storeIds={param},46169,direct_call
GET,/quotation/{param}/export/csv?storeIds={param},53025,url_config
PUT,/quotation/{param}/transferQuotation,46044,url_config
PATCH,/quotation/{param}/updatePriceWithCustomerTier?storeIds={param},46100,url_config
GET,/quotation/{param}/withCustomer?storeIds={param},45967,url_config
GET,/quotationLineItem/quotationId/{param}?storeIds={param},46001,url_config
DELETE,/recordUnderEditMode,236356,url_config
PUT,/recordUnderEditMode,236334,url_config
GET,/recordUnderEditMode?moduleId={param}&recordId={param},236290,url_config
PUT,/recurring,238605,url_config
DELETE,/recurring/line-item/{param},238596,url_config
GET,/recurring/list?storeIds={param},238581,url_config
DELETE,/recurring/{param},238589,url_config
POST,/refreshToken,3295,url_config
GET,/report/audit?storeIds={param},11582,url_config
GET,/report/closingSummary?storeIds={param},11078,url_config
GET,/report/customer/dueBalance/byAging?storeIds={param},11311,url_config
GET,/report/customer/dueBalance?storeIds={param},11299,url_config
GET,/report/customer/excessPayment,11321,url_config
GET,/report/customer/products/neverOrdered/csv,258761,url_config
GET,/report/customer/products/neverOrdered?storeIds={param},258803,url_config
GET,/report/customer/reward/statement/csv,249137,url_config
GET,/report/customer/reward/statement?storeIds={param},238423,url_config
GET,/report/customer/salesAndReturnCombined?storeIds={param},11128,url_config
GET,/report/customer/statement?storeIds={param},238412,url_config
GET,/report/employee/commission/byBrand?storeIds={param},11170,url_config
GET,/report/employee/commission/byCategory?storeIds={param},11153,url_config
GET,/report/employee/dueBySalesRep?storeIds={param},11395,url_config
GET,/report/employee/payrollSummary?storeIds={param},11141,url_config
GET,/report/grossSales?storeIds={param},10980,url_config
GET,/report/inventory/log?storeIds={param},11286,url_config
GET,/report/inventory/lowStockReportDetails?storeIds={param},11244,url_config
GET,/report/inventory/valuation/byCategory?storeIds={param},11256,url_config
GET,/report/inventory/valuation/byVendor?storeIds={param},11268,url_config
GET,/report/inventory/valuation?storeIds={param},11232,url_config
GET,/report/payment/details?storeIds={param},11371,url_config
GET,/report/product/salesByIMEI?storeIds={param},11533,url_config
GET,/report/product/salesVsPurchase?storeIds={param},11219,url_config
GET,/report/product/summary?storeIds={param},11443,url_config
GET,/report/product/withoutCategory?storeIds={param},11570,url_config
GET,/report/profitAndLoss?storeIds={param},11545,url_config
GET,/report/purchase/byCustomer?storeIds={param},245943,url_config
GET,/report/purchase/byProduct/export/csv,260079,url_config
GET,/report/purchase/byProduct?productId={param}&storeIds={param},12134,url_config
GET,/report/purchase/byProduct?storeIds={param},11507,url_config
GET,/report/purchase/byVendor?storeIds={param},11520,url_config
GET,/report/purchase/product?storeIds={param},11186,url_config
GET,/report/returns/byCustomer?storeIds={param},11495,url_config
GET,/report/returns/lineItem/summary?storeIds={param},11557,url_config
GET,/report/sales/byCategory?storeIds={param},10891,url_config
GET,/report/sales/byCustomer?storeIds={param},11104,url_config
GET,/report/sales/byMasterAndChildCategory?storeIds={param},10967,url_config
GET,/report/sales/byProductSummary/product/{param}?storeIds={param},12119,url_config
GET,/report/sales/byProductSummary?storeIds={param},11426,url_config
GET,/report/sales/byRepByCategory?storeIds={param},10929,url_config
GET,/report/sales/bySalesRep?storeIds={param},10916,url_config
GET,/report/sales/byVendor?storeIds={param},10904,url_config
GET,/report/sales/county/byCategory?storeIds={param},10942,url_config
GET,/report/sales/customer/byCategorySummary?storeIds={param},10955,url_config
GET,/report/sales/customer/byProductSummary?storeIds={param},11409,url_config
GET,/report/sales/lostSalesReportByReportType?storeIds={param},11594,url_config
GET,/report/sales/orderShipmentTracking?storeIds={param},11028,url_config
GET,/report/sales/product/profitMargin?storeIds={param},11016,url_config
GET,/report/sales/productByCategoryForTaxation?storeIds={param},11459,url_config
GET,/report/tax/exciseTaxByLineItem?storeIds={param},11064,url_config
GET,/report/tax/msa?storeIds={param},10992,url_config
GET,/report/tax/purchase/byTaxClassIdAndStateId/{param}/stateId/{param}?storeIds={param},11052,url_config
GET,/report/tax?storeIds={param},11040,url_config
GET,/report/vendor/dueBalance/byAging?storeIds={param},11347,url_config
